acousticness,popularity
0.00203,59
0.002036,43.66666667
0.00204,59
0.00205525,37.5
0.002061757,50.85714286
0.002065,32
0.00207,1
0.00207,39.5
0.00207,59
0.00207,45
0.00208,56
0.002088,36.25
0.00209,49
0.0021,45
0.0021,41
0.00211,0
0.002112667,0.333333333
0.002115983,50
0.00212,57
0.00212,60
0.00212,60
0.00212,61
0.00212,61
0.002124075,49.18181818
0.00213,0
0.00213,0
0.00213,57
0.00214,60
0.00214,47
0.00214,59
0.00214606,49.6
0.00216,0
0.00216,0
0.00216,62
0.00216,53
0.00216,0
0.002160225,22.5
0.002160643,52.14285714
0.002164943,56.5
0.00217,60
0.002170667,61.33333333
0.002177955,51.19354839
0.0021868,56.6
0.002187667,56.33333333
0.00219,0
0.00219424,55.2
0.002194433,37.33333333
0.0022,43
0.002207,38
0.00221,72
0.00222,69
0.00222,57
0.00222319,47.5
0.00223,53
0.002236667,52
0.00224,36
0.00224,35
0.00224,0
0.00225,0
0.002256967,48.66666667
0.00227,0
0.00227,62
0.002272,59
0.00228,41
0.002284917,41.16666667
0.00229,46
0.00229,52
0.00231,26
0.00231,44
0.00231,82
0.00232,33
0.00233,0
0.00234,1
0.00234,1
0.00234,0
0.0023466,41.33333333
0.00235,0
0.00235875,43.39285714
0.00236,53
0.00237,40
0.00237,53
0.00237,71
0.00237,0
0.00238335,38.5
0.00239,47
0.0024,43
0.002407444,58.66666667
0.00241,62
0.0024131,44
0.00242,57
0.002428,59.6
0.00243,0
0.00244,48
0.00245,34
0.00246,0
0.00247,36
0.00247,0
0.00248,35
0.00249,45
0.00249,47
0.00249,47
0.0025,42
0.0025,0
0.00251,0
0.00251,0
0.00251,0
0.002519055,53.90909091
0.00252,62
0.00252,62
0.00252,36
0.002525,64
0.002527333,55.83333333
0.00253,35
0.002539625,48.375
0.00254,53
0.00256,50
0.00257,58
0.00257,78.5
0.00257,78.5
0.00257,40
0.00257805,44
0.00259,55
0.00259,0
0.00259,56
0.00259,54
0.0026,32
0.0026,53
0.002605,2.5
0.00261,57
0.00261,50
0.00261,0
0.00262,67
0.00262,35
0.00263,47
0.002643333,30.66666667
0.00267,48
0.00268,0
0.0026885,53.5
0.00268995,63.5
0.00269,55
0.0027,0
0.0027,52
0.0027,0
0.002703,59.5
0.002706,44.5
0.0027161,43.33333333
0.00271725,58
0.002718154,48.30769231
0.00272,39
0.00272,0
0.002735333,39
0.0027371,61.66666667
0.002748,47.66666667
0.002748,49.5
0.002762493,35.25
0.00277,42
0.00277,56
0.002779875,42.25
0.00278,37.5
0.00279,45
0.00281,42
0.00282,0
0.00282,32
0.00282,43
0.002845,50.5
0.00286,39
0.00286,0
0.00286,0
0.002865,31.5
0.00286525,58.25
0.00287,42
0.00288,58
0.00289,23
0.00289,31
0.00289,0
0.00289,31
0.0029042,48.6
0.00291,47
0.00291,0
0.0029136,63.4
0.00292,59
0.00292,59
0.00293,53
0.00296,50
0.00297,50
0.00299,0
0.00299,0
0.002993495,51.68253968
0.003,60
0.003,60
0.003,60
0.00301,0
0.003015,29
0.00303,0
0.00304,45
0.00304598,54.4
0.00305,47.5
0.00306,41
0.00306,39
0.0030673,50
0.00307,62
0.00307,24
0.003079667,0.666666667
0.00308,57
0.0031,40
0.00311,44
0.00311,44
0.00311,32
0.00312,0
0.00312,33
0.00312,39
0.0031372,55.6
0.00314,0
0.00314,54
0.00314,0
0.00315,44
0.00315,47
0.00316,50
0.00316,45
0.00316,40
0.0031655,51.5
0.003167564,44.14285714
0.00317,61
0.00317,47
0.00317,39
0.00317,59
0.003175,54
0.00318,30
0.00318,72
0.00319,61
0.003204,49
0.003215323,39.36065574
0.0032175,46
0.003218667,29.66666667
0.003226667,45
0.003232936,34.54545455
0.00324,0
0.00325,30
0.00325,55
0.00326,31
0.00326,31
0.00327,41
0.00327,68
0.00328,45
0.00329,0
0.00329,43
0.0033,25
0.0033,42
0.00331,55
0.003316667,42.33333333
0.00333,36
0.00333,50
0.003335,63.5
0.0033505,30.5
0.00336,43
0.0033625,53.75
0.00337,31
0.00337,23
0.003372833,51.5
0.0033775,32.5
0.0033805,54.5
0.003399,25.5
0.0034,57
0.003409388,51.6875
0.00343,60
0.00344,44
0.003444667,49
0.00344616,56.8
0.00345,42
0.003458009,50.72727273
0.00346,66
0.00346,0
0.00347,52
0.00347,53
0.00347,53
0.00347,52
0.00347,37
0.00348,26
0.00349,0
0.00349,0
0.0035,0
0.0035,53
0.00351,34
0.003518871,58.85714286
0.00352,44
0.00353,62
0.00354,34
0.00354,37
0.00355,44
0.00355,0
0.00355,44
0.003556667,53.33333333
0.00357,36
0.00358,34
0.00358,34
0.00358,35
0.00358,34
0.003608945,47
0.00361,49
0.00362,0
0.00363,75
0.00363,75
0.00364,0
0.00364,37
0.00364,0
0.00365,49
0.00365212,53.8
0.00366,33
0.00366,33
0.003663,72.5
0.00368,0
0.00368,0
0.00368,33
0.00369,52
0.003699667,63.33333333
0.00371,0
0.00371,46
0.00371,67
0.0037315,40.83333333
0.00374,54
0.00375,46
0.003755,27.5
0.003763333,65.33333333
0.003765,54.5
0.003767,46.5
0.00377,0
0.00377,69
0.00379,51
0.00379,3
0.00381,62
0.00381,62
0.003812432,37.42105263
0.00382,70
0.00382,0
0.003825,54
0.003827,59.33333333
0.003828857,57.14285714
0.00383,59
0.00383,49
0.00383,0
0.00383,0
0.00383,0
0.00383,32
0.003835,0
0.00384,49
0.00385,53.33333333
0.00386,42
0.00386,41
0.00387,3
0.003884448,37.38095238
0.00389,44
0.0039075,42
0.003907511,65.33333333
0.00391,62
0.00391,79
0.00391,62
0.00391,60
0.00392,29
0.00392,45
0.00392,0
0.003928,33
0.00393,41
0.00393,1
0.00393,1
0.00394,0
0.00395,0
0.00396,33
0.003961167,55.83333333
0.00397,40
0.00397,35
0.00398,51
0.00398,49
0.00398,49
0.00398,0
0.00398,37
0.00398,49
0.00398,49
0.0039977,62
0.00401,41
0.004017188,36.4375
0.00402,53
0.004023827,51.03333333
0.004026667,64
0.0040284,60
0.00403,54
0.00403,59
0.00403775,52.5
0.004039143,45.14285714
0.00404,40
