genres,acousticness,danceability,loudness,tempo,popularity,key
['emo rap'],0.404,0.711,-6.81,108.02,66.0,11
"['alternative hip hop', 'hip hop', 'north carolina hip hop', 'underground hip hop']",0.23200000000000004,0.685,-8.679,90.4195,51.0,7
"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",0.21810777777777776,0.6323333333333334,-8.077222222222222,111.30066666666669,25.11111111111111,2
['philly rap'],0.198,0.885,-6.6629999999999985,95.402,39.0,6
"['melodic rap', 'pop rap', 'rap', 'trap']",0.25338639999999985,0.7300933333333334,-7.011053333333331,118.7338666666667,66.64,5
"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'uk post-punk']",0.132125,0.6950000000000001,-7.848000000000001,125.9155,27.5,2
"['metalcore', 'pop punk', 'screamo']",0.02635405192307692,0.4025961538461539,-4.427519230769232,144.22146153846148,53.42307692307693,0
['new jack swing'],0.0149,0.499,-7.903,111.949,29.0,2
"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']",0.947,0.5489999999999999,-7.778,119.58,54.0,0
"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",0.02541125714285714,0.5126666666666667,-9.317571428571426,145.65019047619043,41.904761904761905,2
[],0.0126,0.444,-7.775,100.811,33.0,2
"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock']",0.6257999999999999,0.4695,-8.296750000000001,119.454125,59.125,2
"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']",0.03,0.6829999999999999,-9.034,119.504,48.0,2
"['doo-wop', 'rhythm and blues']",0.8540000000000001,0.507,-11.857,97.231,37.0,7
[],0.955,0.7170000000000001,-15.267,84.079,3.0,3
"['chillhop', 'lo-fi beats']",0.8336666666666667,0.7926666666666667,-12.981333333333335,124.99066666666668,62.66666666666666,0
[],0.754,0.542,-7.491,112.789,47.0,2
"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",0.1090879084745763,0.5195254237288135,-9.763203389830506,124.47710169491528,49.474576271186436,6
['italian progressive metal'],0.597,0.303,-11.037,178.465,0.0,0
"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",0.1363,0.6759999999999999,-8.663333333333334,101.286,66.33333333333333,2
"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock', 'viral pop']",0.2030333333333333,0.39066666666666666,-4.385000000000002,152.98166666666663,59.33333333333334,7
"['metalcore', 'pixie', 'post-screamo', 'screamo']",0.00121075,0.25275000000000003,-3.4232500000000003,123.78500000000004,45.0,10
"['melodic metalcore', 'post-hardcore', 'screamo']",3.01e-05,0.555,-6.063,143.005,48.0,8
"['boogie', 'disco', 'funk', 'post-disco']",0.326025,0.75475,-9.2815,126.93325000000002,45.75,2
"['contemporary country', 'country pop', 'country road', 'modern country rock']",0.017598500000000003,0.4905,-5.950500000000001,132.267,62.0,7
"['bubblegum dance', 'europop']",0.31425,0.6755,-6.0317500000000015,128.45600000000002,63.75,9
[],0.953,0.4890000000000001,-14.825333333333333,81.77433333333333,0.3333333333333333,7
[],0.915,0.261,-10.377,111.529,1.0,3
"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",0.17003352941176464,0.8276691176470589,-9.829654411764695,97.87680147058832,46.066176470588225,11
"['canadian indigenous', 'canadian indigenous hip hop', 'escape room', 'ottawa rap']",0.023,0.6579999999999999,-5.408,133.442,52.0,3
"['ambient', 'chamber psych', 'compositional ambient', 'drift', 'drone', 'neo-classical', 'post-rock']",0.767,0.0804,-21.007,82.14,46.0,11
"['baltimore hip hop', 'drill', 'underground hip hop', 'vapor trap']",0.0889,0.9,-5.516,140.023,59.0,0
"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",0.1159470588235294,0.7458823529411763,-5.340411764705881,137.24970588235297,61.55882352941178,1
"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",0.2442555555555556,0.7806666666666666,-5.916666666666666,129.4382222222222,59.22222222222222,8
['harlem hip hop'],0.14300000000000002,0.79,-5.098333333333334,121.66966666666669,55.0,11
"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",0.19370240625000004,0.6712291666666667,-6.8722499999999975,128.9268854166667,63.39583333333334,1
"['hip hop', 'rap', 'underground hip hop']",0.253225,0.73025,-6.6955,135.78549999999998,55.25,0
"['bubblegum dance', 'dance pop', 'europop']",0.04309,0.7170000000000001,-5.7056666666666676,124.99666666666668,45.33333333333334,4
"['anthem worship', 'canadian ccm', 'ccm', 'world worship']",0.583,0.399,-5.801,133.175,59.0,8
"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",0.0209,0.5105,-4.0415,150.0085,0.0,3
"['c-pop', 'mandopop']",0.29,0.542,-11.702,123.971,52.0,10
"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']",0.009398,0.7048,-3.6818,131.1848,56.6,1
[],0.426,0.589,-13.483,130.27200000000002,24.0,0
"['broadway', 'show tunes', 'west end']",0.9685714285714284,0.608,-10.921142857142858,122.07585714285713,12.571428571428573,10
[],0.995,0.35700000000000004,-14.339,111.982,0.0,7
"['deep indian pop', 'filmi']",0.8996818181818181,0.5417727272727274,-10.323818181818178,131.58431818181822,4.818181818181818,6
[],0.962,0.366,-14.905,145.377,0.0,0
[],0.924,0.508,-14.508,111.486,0.0,4
