genres,popularity
[],1.5
[],75
[],62
[],42
[],61
[],11
[],39
[],62.33333333
[],46
[],65
[],29
[],39
[],28
[],42.8
[],6
[],0
[],4
[],43
[],25
[],34
[],0.833333333
[],43
[],12
[],49
[],13.16666667
[],69
[],39
[],50
[],47
[],48
[],14.66666667
[],28
[],49
[],27.5
[],2
[],43
[],0
[],0
[],0
[],5.5
[],0.7
[],1.9375
[],2
[],0.19047619
[],0
[],29
[],0
[],24.5
[],2.666666667
[],43
[],1
[],0
[],1
[],16
[],16
[],25.14285714
[],0.027027027
[],43
[],3
[],46
[],52
[],25
[],24
[],37
[],46
[],0
[],24
[],43
[],0.6
[],14
[],6.888888889
[],0
[],25
[],26
[],16
[],11.08333333
[],21
[],17.09090909
[],0
[],39
[],0
[],8
[],45.5
[],2.2
[],57
[],1.333333333
[],38
[],0
[],6
[],6
[],50
[],0
[],10
[],0
[],52
[],52.07692308
[],30
[],36.375
[],51
[],32
[],58
[],59
[],50
[],72
[],51
[],32
[],0
[],6.666666667
[],34
[],0.714285714
[],51
[],0
[],48
[],34.5
[],55.6
[],27.66666667
[],43
[],0
[],0
[],34.5
[],0.75
[],4.333333333
[],7
[],0
[],3
[],0
[],0
[],0
[],9
[],24.33333333
[],0
[],14.66666667
[],0
[],0
[],51
[],36
[],80
[],40
[],25.4375
[],0
[],0
[],64
[],0
[],0
[],0
[],36
[],38
[],0.039215686
[],54
[],47
[],0
[],42
[],61
[],57
[],1
[],19
[],18
[],0.7
[],2
[],22
[],31
[],43
[],49
[],44
[],34
[],5
[],27
[],0
[],25
[],19
[],0
[],0
[],7
[],19.5
[],61
[],0
[],24
[],21.71428571
[],72.7
[],1
[],46
[],13
[],2
[],0.5
[],17.5
[],1
[],1
[],41
[],0
[],40
[],46
[],35
[],0
[],0
[],0
[],0
[],67
[],51.5
[],0
[],44
[],44
[],39
[],0
[],63
[],7
[],58
[],0
[],50
[],45
[],15
[],33
[],19
[],48.66666667
[],0
[],0
[],0
[],44.5
[],21.33333333
[],45
[],5
[],39
[],24.5
[],53
[],55
[],0
[],51.66666667
[],54
[],48
[],0
[],29.125
[],0.0625
[],0
[],0.022222222
[],0
[],34
[],39
[],30
[],2.571428571
[],30
[],26
[],35
[],0
[],32
[],1
[],37
[],27
[],42.66666667
[],0
[],0
[],29
[],39
[],48
[],34
[],42
[],42.33333333
[],31
[],7
[],0
[],20
[],29
[],0
[],48
[],59
[],0
[],50.5
[],54
[],0
[],49
[],28
[],57
[],41.66666667
[],56.5
[],50
[],54
[],57
[],60
[],56.5
[],76
[],4.454545455
[],43
[],54
[],51
[],52
[],65
[],45
[],43
[],1
[],32
[],40
[],43
[],36
[],63
[],14.44036697
[],29.75
[],33
[],52
[],48
[],44
[],0
[],42
[],40
[],5
[],4
[],9.5
[],0
[],34.5
[],42
[],49
[],30
[],22
[],0
[],0
[],42
[],47
[],35
[],9.333333333
[],62
[],39
[],34
[],0
[],49
[],62
[],49
[],42
[],42
[],37.5
[],6.333333333
[],60
[],0
[],35
[],44
[],0.833333333
[],0
[],0
[],0
[],49
[],12.75
[],0
[],1
[],58
[],3.5
[],5
[],5.666666667
[],43
[],40.66666667
[],25
[],20
[],55
[],49
[],36
[],26
[],5
[],23
[],37
[],0
[],18
[],1
[],63
[],29
[],7
[],43
[],0
[],6
[],9
[],19
[],34
[],51
[],1
[],48.5
[],52
[],65.5
[],1
[],0
[],41.66666667
[],0
[],57
[],1
[],66
[],0
[],48.8
[],2
[],25.25
[],53
[],46
[],0
[],0
[],0
[],0
[],0.083333333
[],1.8
[],13
[],0
[],51
[],0
[],6
[],22.2
[],1.333333333
[],1.333333333
[],0
[],0
[],0
[],19
[],57
[],1
[],2.226666667
[],1
[],38
[],44
[],34
[],0
[],65
[],5
[],47
[],35
[],21.75
[],0.2
[],0
[],37
[],0
[],0.115384615
[],1
[],12
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],32.66666667
[],0
[],4.928571429
[],0
[],3.75
[],4.714285714
[],34
[],41
[],79
[],74
[],26
[],0
[],40.5
[],36
[],39.33333333
[],47
[],72
[],42.5
[],0
[],2
[],30
[],2
[],34
[],0
[],24
[],0
[],36
[],5.25
[],51
[],47
[],11
[],1
[],37
[],58
[],23
[],0
[],44
[],0
[],15.73333333
[],0
[],41
[],2
[],9
[],0
[],78.5
[],48
[],66
[],52
[],52
[],27.33333333
[],3
[],38
[],22
[],44
[],25
[],43
[],0
[],50
[],36
[],69
[],65
[],1
[],0
[],13.4137931
[],1.666666667
[],0
[],5
