tempo,popularity
74.92533333,46.66666667
74.953,42
74.958,52
74.983,30
74.986,71
74.988,51
74.992,59
74.992,62
74.993,0
74.994,0
74.994,64
74.995,44.5
74.996,0
74.997,61
74.998,0
75.003,57
75.006,25
75.008,41
75.008,66
75.01,69
75.012,75
75.013,73
75.014,47
75.017,64
75.018,2
75.018,2
75.022,0
75.025,39
75.038,35
75.046,52
75.046,0
75.047,69
75.048,0
75.058,44
75.058,44
75.058,44
75.065,67
75.071,40
75.079,0
75.081,0.5
75.092,0
75.108,69
75.115,63
75.116,27
75.118,0
75.1245,34
75.134,23
75.144,31
75.14766667,49.66666667
75.152,34
75.159,32
75.159,0
75.188,0
75.201,38
75.203,42
75.203,42
75.21266667,0
75.228,56
75.233,0
75.234,40
75.239,0
75.243,39
75.248,0
75.24857143,0
75.266,63
75.266,47
75.269,40
75.279,36
75.279,36
75.279,36
75.28966667,0
75.29,30.33333333
75.313,0
75.31575,0
75.31633333,46.83333333
75.3225,39.33333333
75.338,0
75.341,0
75.341,0
75.387,0
75.401,63
75.405,15
75.438,28
75.438,28
75.463,1
75.466,0
75.478,23
75.498,0
75.5018,0
75.523,58
75.5255,48
75.539,9
75.539,9
75.556,33
75.579,46
75.587,65
75.59,4
75.597,58
75.598,60
75.598,60
75.604,0
75.6055,48
75.615,4
75.633,0
75.647,0
75.65,0
75.651,55
75.659,42
75.663,42
75.664,58
75.6655,0.5
75.70266667,0
75.703,33
75.70725,20.75
75.751,0
75.767,0
75.77233333,0
75.77625,60.75
75.793,2
75.807,0
75.80833333,44.33333333
75.81,46
75.81,46
75.81,50
75.815,0
75.829,34
75.831,58
75.85833333,23.33333333
75.863,0
75.8685,45
75.885,26
75.885,0
75.8875,0
75.91066667,0
75.915,46
75.916,38
75.916,52
75.916,38
75.93,45
75.93,45
75.93,45
75.931,39
75.934,0
75.934,0
75.949,0
75.953,44
75.954,47
75.954,0
75.965,40
75.966,2
75.973,1
75.974,48
75.982,46
75.988,56
75.988,64
75.99,45
75.99,42
75.992,67
76,0
76.001,4
76.008,0
76.009,48
76.022,0
76.022,57
76.022,57
76.023,39
76.024,48
76.028,53
76.035,61
76.035,61
76.038,40
76.04,46
76.0435,19
76.065,0
76.066,2
76.077,46
76.0895,0
76.09,0
76.099,37
76.102,40
76.136,1.5
76.136,28
76.142,15
76.14671429,0
76.1475,0
76.154,7
76.163,64
76.166,48
76.169,33
76.175,0
76.211,42
76.211,42
76.211,42
76.211,42
76.211,42
76.211,42
76.211,42
76.211,42
76.211,42
76.223,1
76.228,57
76.229,83
76.232,23.5
76.24,57.25
76.2575,46
76.261,45.5
76.262,33
76.27,0
76.27,0
76.277,28
76.2905,22
76.295,51
76.301,0
76.331,0
76.342,70.5
76.344,0
76.355,0
76.365,0
76.3725,0
76.381,34
76.381,34
76.382,54
76.38733333,0
76.393,68
76.398,0
76.402,19
76.418,10
76.418,10
76.418,10
76.418,10
76.418,10
76.435,0
76.4445,27.5
76.446,15
76.45,0
76.45,0
76.459,0
76.46266667,33.5
76.4645,46.5
76.472,39
76.47766667,0
76.49,45
76.5,53
76.511,46.5
76.512,0
76.524,0
76.5282,0
76.531,45
76.537,49
76.554,0
76.585,0
76.585,0
76.632,36
76.64,0
76.643,29
76.653,2
76.653,2
76.683,47.5
76.6965,32.5
76.704,46
76.706,0
76.706,0
76.744,52
76.757,0
76.759,0
76.759,0
76.759,0
76.759,0
76.77433333,0
76.7845,0.5
76.788,0
76.791,0
76.793,39
76.8,0
76.818,52
76.839,36
76.862,0
76.862,0
76.892,43
76.907,55
76.926,8
76.94,34
76.94,34
76.944,65
76.957,45
76.964,41
76.965,55
76.965,0
76.965,0
76.966,58
76.966,58
76.971,69
76.973,0
76.977,0
76.99,40
76.992,43
76.994,83
76.995,45
77,0
77,49
77.004,26
77.009,70
77.009,48
77.016,55
77.022,48
77.022,0
77.023,0
77.023,56
77.023,39
77.025,53
77.026,60
77.029,0
77.031,39
77.041,0
77.055,31
77.0765,7.5
77.08,30
77.1,20.66666667
77.103,1
77.116,56
77.124,0
77.167,59
77.167,0
77.167,0
77.167,0
77.175,32
77.179,55
77.208,33
77.209,55
77.213,42
77.214,45
77.218,1
77.2265,34.5
77.247,0
77.247,0
77.251,6
77.267,46
77.27,25
77.275,44
77.277,0
77.28,30
77.285,11
77.301,0
77.307,48
77.318,0
77.333,35
77.333,35
77.3338,10.4
77.3725,60
77.37585714,34.85714286
77.38566667,32.33333333
77.394,0
77.406,0
77.408,61
77.411,36
77.41666667,14
77.4305,29.5
77.434,38
77.435,2
77.445,0
77.445,0
77.448,0
77.451,15
77.45966667,0
77.461,54
77.467,60
77.485,0
77.486,36
77.488,0
77.489,28
77.501,62
77.504,47
77.507,69
77.515,64
77.529,58
77.529,58
77.532,54
77.534,0
77.552875,27.75
77.561,43
77.57,56
77.578,54
77.581,37
77.59,55
77.59,55
77.59,55
77.594,0
77.594,0
77.60266667,0
77.625,0
77.626,0
77.6315,51.5
77.64,0
77.6405,0
77.652,0
77.66,49
77.682,7
77.682,23
77.683,44
77.705,0
